Serial Port,Voltage (V),Average X,Average Y,Average Z

COM16,0.4188,-36.56,56.25,-119.7
COM18,0.4188,-10.05,23.79,-27.98
COM19,0.4188,-66.41,62.36,77.0
COM20,0.4188,-19.76,12.12,56.53
COM21,0.4188,-70.33,53.61,-121.03
COM16,0.2699,-38.0,43.29,-99.08
COM18,0.2699,-14.91,20.3,-39.61
COM19,0.2699,-64.04,59.13,30.58
COM20,0.2699,-20.95,11.1,11.71
COM21,0.2699,-63.87,53.0,-97.22
COM16,0.115,-33.78,21.78,-80.38
COM18,0.115,-48.63,15.4,-58.21
COM19,0.115,62.48,45.95,-18.1
COM20,0.115,85.83,7.38,-37.68
COM21,0.115,58.4,49.05,-42.48
COM16,0.4899,-28.74,14.83,-143.15
COM18,0.4899,-30.49,41.32,-6.79
COM19,0.4899,52.06,-15.04,99.86
COM20,0.4899,93.21,-56.73,76.94
COM21,0.4899,55.83,30.77,-109.04
COM16,0.6231,-33.82,35.55,-158.78
COM18,0.6231,3.94,45.35,10.82
COM19,0.6231,-72.07,-2.57,141.02
COM20,0.6231,-12.86,-53.33,117.54
COM21,0.6231,-64.23,35.46,-159.69
COM16,0.4592,-35.33,21.22,-135.52
COM18,0.4592,-2.53,40.84,-3.86
COM19,0.4592,-69.54,-5.44,90.52
COM20,0.4592,-14.34,-54.52,68.93
COM21,0.4592,-56.93,35.15,-134.64
COM16,0.0253,-39.22,-18.18,-74.58
COM18,0.0253,-16.03,29.29,-40.07
COM19,0.0253,-62.51,-14.37,-42.85
COM20,0.0253,-18.61,-57.0,-61.05
COM21,0.0253,-38.05,34.59,-66.39
COM16,0.039,-39.2,-17.29,-76.02
COM18,0.039,-15.55,29.71,-38.91
COM19,0.039,-62.6,-13.67,-38.33
COM20,0.039,-18.73,-57.03,-56.85
COM21,0.039,-38.63,34.8,-68.47
COM16,0.5982,-31.64,29.94,-156.04
COM18,0.5982,-10.24,44.32,6.96
COM19,0.5982,-22.72,-6.2,133.7
COM20,0.5982,30.5,-54.09,109.44
COM21,0.5982,-17.89,34.02,-144.13
COM16,0.0396,-37.41,19.02,-67.97
COM18,0.0396,-33.71,14.06,-62.2
COM19,0.0396,-11.17,49.98,-42.07
COM20,0.0396,18.35,7.42,-53.24
COM21,0.0396,-7.97,51.55,-48.97
