Serial Port,Voltage (V),Average X,Average Y,Average Z

COM16,0.016191223771642036,-40.43,-5.1,-70.66
COM18,0.016191223771642036,-18.81,23.71,-48.59
COM19,0.016191223771642036,-62.14,9.1,-46.9
COM20,0.016191223771642036,-20.41,-35.16,-64.49
COM21,0.016191223771642036,-43.01,41.18,-62.97
COM16,0.03172802629347525,-41.08,21.87,-65.75
COM18,0.03172802629347525,-22.44,13.62,-61.39
COM19,0.03172802629347525,-60.49,54.24,-43.94
COM20,0.03172802629347525,-23.77,9.39,-60.57
COM21,0.03172802629347525,-53.57,53.38,-60.59
COM16,0.026461682628152693,-37.05,-9.53,-73.75
COM18,0.026461682628152693,-34.08,23.35,-50.37
COM19,0.026461682628152693,3.79,4.67,-44.09
COM20,0.026461682628152693,37.53,-36.22,-62.39
COM21,0.026461682628152693,10.73,38.53,-50.82
COM16,0.04662561689337128,-40.68,23.13,-67.57
COM18,0.04662561689337128,-22.03,14.08,-59.9
COM19,0.04662561689337128,-60.91,54.29,-39.81
COM20,0.04662561689337128,-23.64,9.29,-56.28
COM21,0.04662561689337128,-54.11,53.57,-62.99
COM16,0.09788540121152574,-39.74,2.17,-81.64
COM18,0.09788540121152574,-16.07,25.69,-41.83
COM19,0.09788540121152574,-63.53,11.06,-21.93
COM20,0.09788540121152574,-19.89,-33.93,-40.2
COM21,0.09788540121152574,-46.89,41.23,-75.62
COM16,0.04146795427649723,-36.79,-8.51,-75.39
COM18,0.04146795427649723,-33.3,23.79,-49.43
COM19,0.04146795427649723,3.74,5.18,-39.05
COM20,0.04146795427649723,37.26,-35.56,-58.05
COM21,0.04146795427649723,9.97,38.32,-53.15
COM16,0.14525713300664764,-39.13,6.54,-88.44
COM18,0.14525713300664764,-14.42,26.64,-37.41
COM19,0.14525713300664764,-64.05,12.3,-6.98
COM20,0.14525713300664764,-19.58,-33.9,-26.11
COM21,0.14525713300664764,-48.68,41.4,-83.01
COM16,0.26767285860609563,-34.58,13.17,-107.26
COM18,0.26767285860609563,-26.06,29.97,-30.05
COM19,0.26767285860609563,-0.19,10.0,31.91
COM20,0.26767285860609563,39.66,-34.12,10.61
COM21,0.26767285860609563,-0.25,38.69,-89.05
COM16,0.028069950443804993,-36.85,-9.36,-73.6
COM18,0.028069950443804993,-33.67,23.31,-49.91
COM19,0.028069950443804993,3.64,5.14,-42.36
COM20,0.028069950443804993,37.73,-35.78,-61.77
COM21,0.028069950443804993,10.93,38.35,-51.57
COM16,0.19478619584916412,-36.13,31.68,-90.43
COM18,0.19478619584916412,-32.47,17.53,-49.62
COM19,0.19478619584916412,2.97,51.87,7.39
COM20,0.19478619584916412,36.36,8.65,-12.84
COM21,0.19478619584916412,-7.87,51.09,-72.78
COM16,0.05435377297210665,-37.0,18.93,-70.6
COM18,0.05435377297210665,-36.75,13.69,-61.0
COM19,0.05435377297210665,5.25,48.99,-37.16
COM20,0.05435377297210665,35.07,7.9,-54.83
COM21,0.05435377297210665,-0.85,50.45,-49.9
COM16,0.11484194373529445,-36.14,-1.59,-85.49
COM18,0.11484194373529445,-30.58,25.92,-42.77
COM19,0.11484194373529445,2.33,6.61,-16.6
COM20,0.11484194373529445,38.58,-35.36,-35.55
COM21,0.11484194373529445,6.9,38.62,-64.64
COM16,0.1138528922755959,-35.63,-1.81,-85.13
COM18,0.1138528922755959,-30.93,25.54,-43.31
COM19,0.1138528922755959,2.5,6.58,-16.4
COM20,0.1138528922755959,38.63,-35.52,-36.29
COM21,0.1138528922755959,6.83,38.64,-64.7
COM16,0.27928384393283207,-37.7,18.56,-106.58
COM18,0.27928384393283207,-10.22,30.19,-26.74
COM19,0.27928384393283207,-65.92,15.18,35.48
COM20,0.27928384393283207,-17.77,-32.75,15.23
COM21,0.27928384393283207,-54.48,41.45,-104.1
COM16,0.043134227529724865,-39.97,22.77,-66.34
COM18,0.043134227529724865,-21.69,13.75,-59.17
COM19,0.043134227529724865,-60.33,53.86,-40.27
COM20,0.043134227529724865,-23.36,9.34,-57.47
COM21,0.043134227529724865,-53.64,53.12,-62.3
COM16,0.13848121982061978,-39.42,31.06,-79.99
COM18,0.13848121982061978,-18.79,16.01,-51.32
COM19,0.13848121982061978,-61.89,55.99,-10.68
COM20,0.13848121982061978,-22.55,9.85,-28.8
COM21,0.13848121982061978,-57.93,53.42,-77.37
COM16,0.12589088511626367,-39.52,29.97,-78.14
COM18,0.12589088511626367,-19.13,16.05,-52.23
COM19,0.12589088511626367,-61.65,55.66,-14.49
COM20,0.12589088511626367,-22.54,9.6,-33.17
COM21,0.12589088511626367,-57.33,53.51,-75.85
COM16,0.0450272518157944,-36.86,18.24,-68.77
COM18,0.0450272518157944,-37.22,13.64,-61.81
COM19,0.0450272518157944,5.84,48.64,-39.89
COM20,0.0450272518157944,34.83,7.75,-57.37
COM21,0.0450272518157944,0.2,50.63,-49.15
COM16,0.027877354351155823,-39.73,-5.22,-70.9
